bowler,maiden_overs
P Kumar,12
B Kumar,11
IK Pathan,9
TA Boult,9
SL Malinga,8
DW Steyn,8
DS Kulkarni,7
DJ Bravo,7
DL Chahar,6
JJ Bumrah,6
Sandeep Sharma,6
UT Yadav,5
I Sharma,5
R Ashwin,5
Z Khan,5
SP Narine,4
MM Patel,4
Harbhajan Singh,4
S Sreesanth,4
A Mishra,4
IC Pandey,4
YS Chahal,4
L Balaji,3
PJ Cummins,3
R Rampaul,3
KV Sharma,3
KK Ahmed,3
JC Archer,3
S Kaul,3
JD Unadkat,3
JH Kallis,3
MG Johnson,3
Rashid Khan,3
HV Patel,3
KH Pandya,3
M Prasidh Krishna,3
JA Morkel,3
A Kumble,3
AD Russell,3
Shivam Mavi,3
B Lee,3
RA Jadeja,2
BA Stokes,2
A Choudhary,2
AB Dinda,2
AR Patel,2
S Nadeem,2
Mohammed Shami,2
SK Raina,2
Mohammed Siraj,2
K Rabada,2
SK Trivedi,2
Mustafizur Rahman,2
AC Thomas,2
R Tewatia,2
SR Watson,2
Harshit Rana,2
T Natarajan,2
DE Bollinger,2
SN Thakur,2
Imran Tahir,2
A Nehra,2
RP Singh,1
YA Abdulla,1
R Bhatia,1
RR Raje,1
RE van der Merwe,1
RJ Harris,1
R Vinay Kumar,1
RD Chahar,1
Yash Dayal,1
R Dhawan,1
YK Pathan,1
R Sharma,1
RV Gomez,1
ST Jayasuriya,1
Washington Sundar,1
Ravi Bishnoi,1
S Aravind,1
SW Tait,1
Shakib Al Hasan,1
TG Southee,1
PWH de Silva,1
TM Head,1
SMSM Senanayake,1
Umar Gul,1
Umran Malik,1
SM Pollock,1
SM Curran,1
SK Warne,1
VR Aaron,1
Vijaykumar Vyshak,1
WD Parnell,1
WPUJC Vaas,1
SE Bond,1
SB Jakati,1
SS Cottrell,1
S Gopal,1
Pankaj Singh,1
A Badoni,1
PP Ojha,1
JL Pattinson,1
Iqbal Abdulla,1
IS Sodhi,1
Harpreet Brar,1
GJ Maxwell,1
GD McGrath,1
GB Hogg,1
FH Edwards,1
FA Allen,1
DP Nannes,1
DJ Willey,1
D du Preez,1
CV Varun,1
CJ Jordan,1
C Sakariya,1
BW Hilfenhaus,1
BB Sran,1
Avesh Khan,1
Arshdeep Singh,1
Akash Deep,1
AS Rajpoot,1
AS Joseph,1
AC Gilchrist,1
AB Agarkar,1
A Singh,1
A Nortje,1
JD Ryder,1
JP Faulkner,1
PP Chawla,1
JR Hazlewood,1
PJ Sangwan,1
P Awana,1
Nithish Kumar Reddy,1
Navdeep Saini,1
NM Coulter-Nile,1
NLTC Perera,1
N Rana,1
Mohsin Khan,1
MS Gony,1
MR Marsh,1
MP Yadav,1
MM Sharma,1
MA Starc,1
M de Lange,1
M Theekshana,1
M Pathirana,1
M Ntini,1
M Muralitharan,1
M Morkel,1
M Kartik,1
M Jansen,1
L Ngidi,1
KR Sen,1
K Gowtham,1
JW Hastings,1
MJ McClenaghan,1
