winner,wins,team,losses,win_loss_ratio
Chennai Super Kings,138,Chennai Super Kings,100,138.0
Deccan Chargers,29,Deccan Chargers,46,63.04347826086957
Delhi Capitals,48,Delhi Capitals,43,111.62790697674419
Delhi Daredevils,67,Delhi Daredevils,94,71.27659574468085
Gujarat Lions,13,Gujarat Lions,17,76.47058823529412
Gujarat Titans,28,Gujarat Titans,17,164.70588235294116
Kings XI Punjab,88,Kings XI Punjab,102,86.27450980392157
Kochi Tuskers Kerala,6,Kochi Tuskers Kerala,8,75.0
Kolkata Knight Riders,131,Kolkata Knight Riders,120,109.16666666666666
Lucknow Super Giants,24,Lucknow Super Giants,20,120.0
Mumbai Indians,144,Mumbai Indians,117,123.07692307692308
Pune Warriors,12,Pune Warriors,34,35.294117647058826
Punjab Kings,24,Punjab Kings,32,75.0
Rajasthan Royals,112,Rajasthan Royals,109,102.75229357798166
Rising Pune Supergiant,10,Rising Pune Supergiant,6,166.66666666666669
Rising Pune Supergiants,5,Rising Pune Supergiants,9,55.55555555555556
Royal Challengers Bangalore,116,Royal Challengers Bangalore,124,93.54838709677419
Royal Challengers Bengaluru,7,Royal Challengers Bengaluru,8,87.5
Sunrisers Hyderabad,88,Sunrisers Hyderabad,94,93.61702127659575
