winner,wins,team,matches_played,win_loss_ratio
Chennai Super Kings,138,Chennai Super Kings,238,0.5798319327731093
Deccan Chargers,29,Deccan Chargers,75,0.38666666666666666
Delhi Capitals,48,Delhi Capitals,91,0.5274725274725275
Delhi Daredevils,67,Delhi Daredevils,161,0.4161490683229814
Gujarat Lions,13,Gujarat Lions,30,0.43333333333333335
Gujarat Titans,28,Gujarat Titans,45,0.6222222222222222
Kings XI Punjab,88,Kings XI Punjab,190,0.4631578947368421
Kochi Tuskers Kerala,6,Kochi Tuskers Kerala,14,0.42857142857142855
Kolkata Knight Riders,131,Kolkata Knight Riders,251,0.5219123505976095
Lucknow Super Giants,24,Lucknow Super Giants,44,0.5454545454545454
Mumbai Indians,144,Mumbai Indians,261,0.5517241379310345
Pune Warriors,12,Pune Warriors,46,0.2608695652173913
Punjab Kings,24,Punjab Kings,56,0.42857142857142855
Rajasthan Royals,112,Rajasthan Royals,221,0.5067873303167421
Rising Pune Supergiant,10,Rising Pune Supergiant,16,0.625
Rising Pune Supergiants,5,Rising Pune Supergiants,14,0.35714285714285715
Royal Challengers Bangalore,116,Royal Challengers Bangalore,240,0.48333333333333334
Royal Challengers Bengaluru,7,Royal Challengers Bengaluru,15,0.4666666666666667
Sunrisers Hyderabad,88,Sunrisers Hyderabad,182,0.4835164835164835
